Date,Openly,Highest,Lowermost,Close,Volume,avg
1995-01-05,7129.94,7144.7,7040.72,7051.49,,7092.71
1995-01-06,7086.88,7086.88,6884.61,6919.31,,6985.745
1995-01-07,6948.27,6948.27,6855.55,6915.4,,6901.91
1995-01-09,6948.73,6959.74,6869.08,6869.08,,6914.41
1995-01-10,6817.85,6838.95,6706.67,6756.88,,6772.81
1995-01-11,6736.11,6791.05,6720.07,6777.24,,6755.56
1995-01-12,6749.62,6749.62,6571.93,6609.5,,6660.775
1995-01-13,6673.26,6685.93,6582.05,6582.4,,6633.99
1995-01-14,6565.52,6565.52,6450.79,6511.3,,6508.155
1995-01-16,6556.98,6556.98,6473.06,6536.65,,6515.02
1995-01-17,6564.25,6574.77,6487.73,6515.79,,6531.25
1995-01-18,6558.74,6638.41,6546.99,6623.52,,6592.7
1995-01-19,6635.62,6672.63,6598.02,6598.02,,6635.325
1995-01-20,6572.85,6572.85,6370.49,6372.01,,6471.67
1995-01-21,6344.29,6432.2,6278.54,6431.99,,6355.37
1995-01-23,6446.9,6451.42,6290.96,6295.04,,6371.19
1995-01-24,6180.25,6242.48,6167.79,6167.79,,6205.135
1995-01-25,6277.07,6329.91,6260.41,6299.62,,6295.16
1995-01-26,6293.33,6348.07,6270.68,6307.85,,6309.375
1995-02-04,6444.53,6455.3,6328.38,6328.38,,6391.84
1995-02-06,6298.01,6417.28,6298.01,6417.28,,6357.645
1995-02-07,6474.84,6554.32,6474.84,6531.82,,6514.58
1995-02-08,6538.92,6549.19,6491.04,6526.74,,6520.115
1995-02-09,6578.69,6601.47,6530,6543.42,,6565.735
1995-02-10,6574.78,6574.78,6519.57,6554.78,,6547.175
1995-02-11,6592.13,6598.84,6548.97,6565.24,,6573.905
1995-02-13,6578.07,6578.07,6498.21,6498.21,,6538.14
1995-02-14,6505.53,6525.82,6478.31,6504.59,,6502.065
1995-02-15,6530.01,6581.77,6528.71,6576.25,,6555.24
1995-02-16,6642.03,6668.63,6617.05,6646.55,,6642.84
1995-02-17,6691.36,6691.36,6635.72,6646.25,,6663.54
1995-02-18,6696.29,6696.29,6636.52,6650.29,,6666.405
1995-02-20,6688.01,6689.18,6604.76,6612.97,,6646.97
1995-02-21,6625.32,6638.47,6594.15,6633.03,,6616.31
1995-02-22,6652.82,6652.82,6595.86,6603.88,,6624.34
1995-02-23,6583.49,6614.61,6547.96,6552.95,,6581.285
1995-02-24,6598.34,6640.57,6582.79,6596.07,,6611.68
1995-02-25,6615.64,6625.51,6585.04,6591.36,,6605.275
